Date,Time,PM10 (μg/m³),PM2.5 (μg/m³),CO (μg/m³),NO2 (μg/m³),SO2 (μg/m³),O3  (μg/m³),Temp (°C),Humidity (%),Wind_Speed (km/h),Soil_Moisture (m³/m³),AQI
8/5/2022,0:00:00,31.7,22.2,478,14.1,5.2,27,20.3,98,3.1,0.426,58
8/5/2022,1:00:00,29.7,20.8,435,11.6,4.5,28,21,96,1.8,0.425,59
8/5/2022,2:00:00,25.3,17.7,374,8.2,3.5,30,21.7,93,3.1,0.424,59
8/5/2022,3:00:00,23.1,16.2,303,4.3,2.5,32,23.2,86,3.1,0.423,60
8/5/2022,4:00:00,20.3,14.2,272,2.9,2,34,25.1,76,2.1,0.421,60
8/5/2022,5:00:00,20,14,250,2.2,1.8,37,25.9,71,0,0.418,61
8/5/2022,6:00:00,20,14,231,1.6,1.5,39,26.7,68,3.1,0.416,61
8/5/2022,7:00:00,20.2,14.1,223,1.4,1.5,42,26.7,70,6.9,0.413,61
8/5/2022,8:00:00,20.8,14.6,221,1.5,1.5,44,25.5,75,3.6,0.427,61
8/5/2022,9:00:00,21.4,15,223,2,1.6,47,24.6,82,3.3,0.424,61
8/5/2022,10:00:00,21.7,15.2,213,1.7,1.6,49,25.1,82,4.1,0.422,61
8/5/2022,11:00:00,23,16.1,202,1.4,1.6,51,25,82,3.2,0.42,62
8/5/2022,12:00:00,20.3,14.2,244,5.4,1.9,54,23.2,86,4.9,0.424,62
8/5/2022,13:00:00,25,17.5,371,16.9,2.3,53,23.3,85,1.9,0.423,63
8/5/2022,14:00:00,35.6,24.9,549,33,3,49,22,93,3.2,0.422,63
8/5/2022,15:00:00,39.2,27.5,700,46.3,3.5,46,22.2,93,3.9,0.43,63
8/5/2022,16:00:00,32.2,22.6,659,41.9,3.4,42,21.7,96,2.3,0.428,64
8/5/2022,17:00:00,28.9,20.3,543,30.3,3,38,21.6,94,1.8,0.426,64
8/5/2022,18:00:00,26,18.2,417,17.2,2.5,35,21.4,93,3,0.424,63
8/5/2022,19:00:00,26.8,18.8,405,14.6,2.6,33,21.1,95,2.8,0.424,63
8/5/2022,20:00:00,27.9,19.6,426,14.6,2.8,30,20.8,96,3.6,0.425,63
8/5/2022,21:00:00,30,21,452,14.9,3.1,29,20.3,97,1.8,0.43,63
8/5/2022,22:00:00,31.3,21.9,458,14,3.3,27,20.1,99,3.5,0.43,63
8/5/2022,23:00:00,31.5,22.1,461,13.1,3.5,27,20.2,98,4.8,0.427,64
8/6/2022,0:00:00,34,23.8,497,13,3.7,28,20.5,95,3.6,0.428,64
8/6/2022,1:00:00,32,22.4,452,11.6,3.6,29,21.2,95,3.3,0.425,64
8/6/2022,2:00:00,27.5,19.3,389,9.4,3.5,30,22.7,88,2.2,0.424,64
8/6/2022,3:00:00,24.7,17.3,319,6.8,3.5,30,23.6,84,4.1,0.422,64
8/6/2022,4:00:00,25.3,17.7,296,5.2,3.4,31,24.6,79,2.5,0.421,64
8/6/2022,5:00:00,26.5,18.5,285,3.8,3.3,33,25.7,77,3.4,0.419,65
8/6/2022,6:00:00,26.9,18.8,274,2.7,3,35,25.9,74,3.4,0.42,65
8/6/2022,7:00:00,25.1,17.6,259,2.3,2.6,38,25.7,77,6,0.43,65
